"pid";"nome_processo";"data_hora";"uso_cpu";"uso_memoria";"memoria_virtual";"status_abertura";"gravacao_disco";"temp_execucao";"fk_maquinaP";"fk_empresaP"
1812;"svchost.exe";"2023-12-05 14:18:01";"0.0002765582698015052";0.01595273670425295;227385344.0;1;"10692365824";0.0;1;1
1844;"svchost.exe";"2023-12-05 14:18:02";"0.00024845543537674124";0.008835361866970865;81240064.0;1;"10692365824";0.0;1;1
1852;"IntelCpHDCPSvc.exe";"2023-12-05 14:18:04";"0.0";0.0031414619971451966;72007680.0;1;"10692365824";0.0;1;1
1876;"msedge.exe";"2023-12-05 14:18:06";"0.0006394833107728604";0.01300761608192933;478732288.0;1;"10692365824";0.0;1;1
1896;"svchost.exe";"2023-12-05 14:18:07";"0.0";0.013645725550099446;81342464.0;1;"10692365824";0.0;1;1
1908;"svchost.exe";"2023-12-05 14:18:09";"0.0";0.005595729182414881;87162880.0;1;"10692365824";0.0;1;1
1916;"msedge.exe";"2023-12-05 14:18:11";"0.0";0.0334762044070785;566046720.0;1;"10692365824";0.0;1;1
1928;"svchost.exe";"2023-12-05 14:18:12";"0.0";0.01433292036197496;79966208.0;1;"10692365824";0.0;1;1
1980;"svchost.exe";"2023-12-05 14:18:14";"0.0";0.0;0.0;0;"10692365824";0.0;1;1
2036;"svchost.exe";"2023-12-05 14:18:16";"0.0";0.0;0.0;0;"10692365824";0.0;1;1
2076;"svchost.exe";"2023-12-05 14:18:17";"0.0";0.00505579040165555;70737920.0;1;"10692365824";0.0;1;1
2128;"java.exe";"2023-12-05 14:18:19";"0.0";2.481264124307651;2707542016.0;1;"10692365824";0.0;1;1
2216;"svchost.exe";"2023-12-05 14:18:21";"0.0";0.01050426355295425;78045184.0;1;"10692365824";0.0;1;1
2252;"TrustedInstaller.exe";"2023-12-05 13:50:26";"0.0";0.0;0.0;0;"10112059904";0.0;1;1
2268;"MySQLWorkbench.exe";"2023-12-05 14:18:22";"0.34079841719563025";0.7148789457253537;1055064064.0;1;"10692365824";0.0;1;1
2276;"audiodg.exe";"2023-12-05 13:57:02";"0.0";0.0;0.0;0;"10281388032";0.0;1;1
2280;"svchost.exe";"2023-12-05 14:18:24";"0.0003809691972324741";0.008344508429916927;77004800.0;1;"10692365824";0.0;1;1
2320;"svchost.exe";"2023-12-05 14:18:26";"0.009052171398931512";0.04196796886811161;71659520.0;1;"10692365824";0.0;1;1
2328;"igfxCUIServiceN.exe";"2023-12-05 14:18:28";"0.0011511911515638394";0.009473471335140983;84992000.0;1;"10692365824";0.0;1;1
2452;"svchost.exe";"2023-12-05 14:18:30";"0.0";0.012860360050813148;74690560.0;1;"10692365824";0.0;1;1
2472;"dasHost.exe";"2023-12-05 14:18:31";"0.0";0.025769805445331688;69095424.0;1;"10692365824";0.0;1;1
2492;"svchost.exe";"2023-12-05 14:18:33";"0.0";0.0;0.0;0;"10692365824";0.0;1;1
2536;"rstudio.exe";"2023-12-05 14:18:35";"0.0";0.0;0.0;0;"10692365824";0.0;1;1
2540;"WmiPrvSE.exe";"2023-12-05 14:18:37";"0.0";0.0;0.0;0;"10692365824";0.0;1;1
2560;"svchost.exe";"2023-12-05 14:18:39";"0.20704174141437304";0.017179870296887792;109924352.0;1;"10692365824";0.0;1;1
2572;"svchost.exe";"2023-12-05 14:18:40";"0.0010068307784596349";0.004319510246074645;71987200.0;1;"10692365824";0.0;1;1
2580;"conhost.exe";"2023-12-05 14:18:42";"0.008855473420530006";0.006332009337995786;91029504.0;1;"10692365824";0.0;1;1
2660;"svchost.exe";"2023-12-05 14:18:44";"0.0";0.008197252398800746;76259328.0;1;"10692365824";0.0;1;1
2676;"svchost.exe";"2023-12-05 14:18:46";"0.0";0.009718898053667952;127148032.0;1;"10692365824";0.0;1;1
